trial,generation,score,mean_signed,min_signed,max_signed,mean_abs_vx,mean_abs_yaw,mean_abs_err,below_count,wrong_count,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
66,6,0.9578089021666691,0.0695771920258365,0.06478449795196702,0.07421986651318198,0.01348150296585301,0.19459637282074205,0.03207719202583648,0,0,-0.7079424653833092,0.013775228607475827,1.2954917410683273,0.30976836598339696,1.1593818653407695,0.5648540514021582,0.9843887890368159,-2.7289972213311513,0.7290723935318946,0.2355234440365126,-0.39105290323159714
67,6,3.0827656710193794,0.038074096327306906,0.03260434081129716,0.04093288354698309,0.008896660227498255,0.15113394242299583,0.0038378691197754632,0,0,-0.6409975288444155,0.015105313683311077,1.2644410348755972,1.466312463315142,0.9262558539160457,0.4283643876583834,0.8896425443633054,-2.8931866357294114,1.2167249819745285,0.18336196283678718,-0.3427545027313776
68,6,-2.6485541471632943,0.02384872631355883,0.020454242834263094,0.025952722570334725,0.004962316229855028,0.09939678355661895,0.013651273686441171,3,0,-0.6378804503974393,0.003063323494725542,1.1447058107615093,1.9246353444834305,-0.5025681965608637,0.36302716015195585,0.7868444109215366,-2.8764979993633677,0.9645037365159528,0.1747260620748421,-0.2861240502108666
69,6,3.000233758649893,0.04557144728843301,0.04314605197914639,0.04875237493091919,0.015138386405458226,0.1389253678142409,0.008071447288433004,0,0,-0.8558646706726248,0.02868475818109352,1.1409715984069004,0.8600008203517171,0.048518270756525705,0.40772535467613513,0.8147095131941257,-2.723777018331786,0.4510707916822674,0.31438906759142515,-0.3017267085812112
70,7,3.0494398171699655,0.041019930629556924,0.03998610569703973,0.042106985523665263,0.01650081606283146,0.18748437844154284,0.003519930629556932,0,0,-0.7980798985014352,0.11801583113583787,1.3007855719141181,1.4547015004240427,1.6915038901740456,0.3322571488813224,0.906821037883856,-2.9341023337629655,1.9867800890372518,0.3715077812771842,-0.285797526975705
71,7,3.2203540172432152,0.03485383246020928,0.03323289179700371,0.03748149534557465,0.01062408004935208,0.11374819073262345,0.002646167539790717,0,0,-0.8307142095618083,0.009595854773381592,1.2320775239487338,1.9155982421005113,1.002164272320198,0.4518804976659894,0.7799127425947675,-2.9900886598977876,0.5511248903953021,0.18466351092498334,-0.34169602808995675
72,7,1.9198329063260924,0.05669049904493099,0.05285164827437495,0.060859859913123794,0.01846636987616314,0.15174874280961428,0.019190499044930986,0,0,-0.7662402484394975,2.454685491619603e-06,1.263232188381511,1.9041918032444647,0.3013060178282987,0.5081868943735617,0.8995893609907657,-2.4865570603974,-0.14224052984333913,0.2601564492452776,-0.3335250051587848
73,7,-0.3152882436436366,0.030167878891885033,0.028023560769929023,0.032910565931987566,0.010857758123597051,0.11341858422030766,0.007332121108114963,2,0,-0.7251421261919855,0.12324223096706034,1.22254887739998,1.4803832274248352,0.5348542005710346,0.2777551554485349,0.885370270349236,-2.9512770675232254,0.801544847019922,0.16087131057803605,-0.2746202386417055
74,7,1.1322691659083008,0.0638304914629065,0.06152910402123901,0.06744929244157753,0.03356501000855255,0.1827284358336055,0.026330491462906485,0,0,-0.9758068538178793,0.00011250669944843496,1.4145595486113072,0.8544842559758061,-0.33595022846274514,0.4795997348230114,0.8030406863362117,-2.6703104379179483,1.0352941330894083,0.2363034117403966,-0.34959378455222806
75,7,-1.3342260816951026,0.025318226389719315,0.012680109925199029,0.03636316683945293,0.009213948040887694,0.09397524101711936,0.01218177361028068,2,0,-0.8314086950578017,0.0045952578833135275,1.2490640514453606,1.230843322427738,1.719993758071694,0.3391250101853644,0.8797369368007939,-2.996604832179634,0.29109989389747337,0.018768972120280725,-0.39622799853758045
76,7,2.6823927713726174,0.046843193968645974,0.03990248280365659,0.050918143216269224,0.017599755304816656,0.1900685702166194,0.009343193968645974,0,0,-0.6760313016252619,0.01471232071289247,1.1158466160314178,1.4449546090057526,0.6215893291528873,0.43840719078877505,0.9386661513100195,-2.999992032473933,0.8696333307230111,0.3405353062353582,-0.32806500048165993
